c9c4f362b8	Calcium channel blockers diazoxide and @CHEMICAL$ analogues used treat @DISEASE$	treats
f086bc64d6	included age sex stroke severity smoking status HR use levels of total @CHEMICAL$ and history of hypertension atrial fibrillation and @DISEASE$ Table	other
5c56d81cd3	Elevated @CHEMICAL$ levels accelerated growth causing be potential @DISEASE$ marker	is_biomarker_for
c4fce9120a	approved treatments for acute depressive episodes associated with @DISEASE$ include several generation antipsychotics @CHEMICAL$	treats
8359517847	modulates homeostasis in response to nematode @DISEASE$ and exhibit enhanced @CHEMICAL$ production	other
a934dd1261	Exp demand for @CHEMICAL$ differ between prone and @DISEASE$ resistant groups	other
c3ee86c907	Doxorubicin @CHEMICAL$ as anti @DISEASE$ drug causes resistance	associated_with_resistance_to
08e684bc54	@CHEMICAL$ causes @DISEASE$	results_in_side_effect
38f1836775	appears be common event and key pathological feature of @CHEMICAL$ induced @DISEASE$	exposure_is_origin_of
67f204285e	known ADR of @CHEMICAL$ is disruptive effect on gut flora and resultant @DISEASE$	exposure_is_origin_of
5f05d49499	@CHEMICAL$ Ameliorates Microbiota Dysbiosis Drives Damage in Induced @DISEASE$	treats
e7679c1abb	@CHEMICAL$ deficient phenotypes characterized by @DISEASE$	is_deficient_in
9dc4de2d8f	lower body mass index risks LDL cholesterol @CHEMICAL$ levels as reduce risk of @DISEASE$	decreases_risk_for
017f268643	characterized feature of @DISEASE$ is decreased fetal blood @CHEMICAL$ level	is_deficient_in
ed5f07bc56	increased @CHEMICAL$ generation in @DISEASE$ promote synthesis	has_excessive_amount_in
652fd8f01b	increased severity of @CHEMICAL$ induced @DISEASE$	exacerbates
dcb36f195e	profound increase in free fatty acid and @CHEMICAL$ concentrations lead and results in @DISEASE$	has_excessive_amount_in
98e8e97baa	demonstrated differences according to @CHEMICAL$ administration for asthma @DISEASE$	other
ea31613f6d	metabolites aminoisobutyric acid @CHEMICAL$ identified as potential diagnostic biomarkers of @DISEASE$	is_biomarker_for
d345b942d2	Chronic @CHEMICAL$ overload induce depressive @DISEASE$ like behavior	other
e1ca9bea80	demonstrated @CHEMICAL$ reduced @DISEASE$	decreases_risk_for
22cbac6be8	@CHEMICAL$ DBA/2 mice are excellent model with higher glucose and @DISEASE$ levels	has_excessive_amount_in
bf68e778e6	prescription of diuretic and @CHEMICAL$ converting enzyme inhibitor associated with increased @DISEASE$ rate	increases_risk_for
a2dfa94328	@CHEMICAL$ deficiency precede onset of @DISEASE$	is_deficient_in
1840d3017f	induced pseudo - Cushing syndrome F10 includes mental and @DISEASE$ due to @CHEMICAL$ use	other
bf7670febb	Excessive use of @CHEMICAL$ cause side effects including liver damage cholestatic @DISEASE$	results_in_side_effect
b55d3624cf	@CHEMICAL$ associated with QT prolongation SVT and @DISEASE$	results_in_side_effect
e530305e19	@CHEMICAL$ deficiency represents relevant single cause of @DISEASE$	is_deficient_in
4e62f47d42	Overcomes Acquired @CHEMICAL$ Resistance Driven by Signaling in @DISEASE$	associated_with_resistance_to
11555174d2	Effect of @CHEMICAL$ shuttle inhibition on @DISEASE$ cells	other
7806f48b24	In same study using @DISEASE$ model found @CHEMICAL$ inhibited development	prevents
1018334e88	developed @DISEASE$ necessitating cessation of @CHEMICAL$	results_in_side_effect
93d8c7f9eb	term @CHEMICAL$ treatment known increase risk of @DISEASE$	increases_risk_for
aeb801449a	shown therapeutic vaccine containing @CHEMICAL$ and @DISEASE$ B core antigen endowed	prevents
6c64750b88	@CHEMICAL$ prevent TMA associated with @DISEASE$	prevents
0ce27950ae	suggest strong relationship with carotid @DISEASE$ but demonstrate utility of @CHEMICAL$	is_biomarker_for
d5eff5f4de	found combination with cisplatin or @CHEMICAL$ increased apoptosis rate of @DISEASE$ cells	exacerbates
a0c36acecb	notable association shown between low Se level and @DISEASE$ disease incidence is specify @CHEMICAL$ deficiency	is_deficient_in
a0f8b69ae1	In knockout mice received diethlynitrosamine + @CHEMICAL$ tetrachloride injections induce @DISEASE$ exacerbated	exacerbates
c1680801f3	show pre - @CHEMICAL$ exposure increase behaviors suggesting causal role in @DISEASE$	exposure_is_origin_of
698f93e761	be chosen use doses avoid potential side effects such as @DISEASE$ occur with higher doses of @CHEMICAL$	results_in_side_effect
77005e53a2	exhibited myocardial @DISEASE$ due to suppressed endogenous synthesis of @CHEMICAL$	is_deficient_in
18dfb92e0b	administration of @CHEMICAL$ protected mice from induced @DISEASE$	prevents
485f37c74f	increased risk develop Severe KS and @CHEMICAL$ use decreased risk of Severe IRIS @DISEASE$ occurrence	decreases_risk_for
3f182db170	used following search terms ICS including beclomethasone budesonide fluticasone @CHEMICAL$ asthma @DISEASE$ S1	other
a4370bb446	Histological images of hematoxylin and @CHEMICAL$ synovium and @DISEASE$ scoring shown	other
a5eb238e6c	higher serum @CHEMICAL$ levels associated with 2.32 - fold increase in @DISEASE$ risk	increases_risk_for
77b0d2fb07	Higher levels of leucine isoleucine @CHEMICAL$ associated with increased risk for @DISEASE$	increases_risk_for
5db1f36ee8	induced @DISEASE$ is one of side effects produced by therapeutic agents @CHEMICAL$	results_in_side_effect
