Type	Question	Concepts	TRAPI	ARA/KP	Comments	Predicate	TRAPI-compatible	Not compatible BUT is something Translator should be able to answer	Not quite compatible but close	Biolink compatible	Very incompatible
summary	Is Hirschsprung disease a mendelian or a multifactorial disorder?	DOID:10487 DOID:11372 MESH:D006627 MESH:D020412					X				
summary	What is the aim of the Human Chromosome-centric Proteome Project (C-HPP)?										X
summary	What is the effect of ivabradine in heart failure after myocardial infarction?	MESH:D009203 MESH:D054143					X				
summary	What is the effect of TRH on myocardial contractility?	GO:0008437 MESH:D003285 TRFR  DOID:114 MESH:D006331 MESH:D009200 MESH:D013973					X				
summary	What are the outcomes of Renal sympathetic denervation?					https://biolink.github.io/biolink-model/docs/has_phenotype.html	X				
summary	What is evaluated using the EORTC QLQ – INFO25 questionnaire?						X				X
summary	What is the association of estrogen replacement therapy and intracranial meningioma risk?										
summary	What is known about the effect of acupuncture in smoking cessation ?										
summary	What is clathrin?	HGNC Group ID 1647				biolink:affects_expression_of	X				
summary	What are the main results of PRKAR1A Knockdown?	KAP0_BOVIN MESH:D055785 HGNC:9388				biolink:ReagentTargetedGene	X				
summary	What is the role of extracellular signal-related kinases 1 and 2 (ERK1/2) proteins in craniosynostosis?	HGNC:6877 HGNC:6871				cannot find in biolink					
summary	What is the association between personality trait of neuroticism and risk for Alzheimer's disease?										
summary	What is the mode of action of everolimus?	DB01590				Can't find biolink mapping		X			
summary	Which pathological condition of the heart is known as hypertrophic cardiomyopathy (HCM)?	MONDO:0005045				biolink:PathologicalEntityMixin					
summary	What is the function of the viral KP4 protein?	MAA_09599 NCBITaxon:1386									
summary	What is the principle of the PAR-CLIP methodology?										
summary	How is spastic diplegia diagnosed?	DOID:10965									
summary	Is there a genetic component for happiness?				this is a 'yesno' question, but mislabeled as 'summary' (?)						X
summary	What kind of affinity purification would you use in order to isolate soluble lysosomal proteins?										
summary	What is the effect of Chk2 splice variants on wild-type Chk2 kinase activity?										
summary	What is Tarlov Cyst?	MONDO:0019000									
summary	What is the extracellular core "matrisome"?										
summary	What is Genomicus?										X
summary	What is the COUGER tool?										X
summary	What is known about clinical efficacy of ceftriaxone for treatment of amyotrophic lateral sclerosis?	CHEMBL161;  DOID:332									
summary	What is the relationship between TailorX and Oncotype?										
summary	Which is the main function of "RNA sponges"?										
summary	How do histone methyltransferases cause histone modification?										
summary	What is the function of 6SRNA in bacteria?										
summary	What is a Caveolae?										
summary	How could we infer functional associations from gene fusion events?										
summary	What is the Genomic Regions Enrichment of Annotations Tool (GREAT)?										
summary	What is the role of RhoA in bladder cancer?	HGNC: 667, DOID:11054									
summary	What is the prognostic role of thyroid hormone in patients with heart failure?	DOID:6000.  CHEMBL1624									
summary	For what is Protein A from Staphylococcus aureus used in biochemistry?										
summary	What is the suggested therapy for Mycobacterium avium infection?										
summary	What is the treatment of acute pericarditis?	DOID:1787	{     "message": {         "query_graph": {             "nodes": {                 "n00": {                     "id": "DOID:1787",                     "category": "biolink:Disease"                 },                 "n01": {                     "category": "biolink:Drug"                 }             },             "edges": {                 "e00": {                     "subject": "n01",                     "object": "n00",                     "predicate": "biolink:treats"                 }             }         }     } }				X				
summary	What is the clinical value of MammaPrint?										
summary	What systems have been developed for the numbering of antibody residues?										X
summary	What is enCHIP?										
summary	What are the functions of sorting nexin 27?										
summary	What clinical use aptamers may have?										
summary	What is the mechanism of action of Nalmefene?										
summary	What is the role of invadopodia in EMT?										
summary	What are cancer driver genes?										
summary	What is a mitochondrial nucleoid?										
summary	What is the treatment of amiodarone-induced thyrotoxicosis?	DOID:7997	{     "message": {         "query_graph": {             "nodes": {                 "n00": {                     "id": "UMLS:C0342143",                     "category": "biolink:Disease"                 },                 "n01": {                     "category": "biolink:Drug"                 }             },             "edges": {                 "e00": {                     "subject": "n01",                     "object": "n00",                     "predicate": "biolink:treats"                 }             }         }     } }								
summary	How does exercise affect thyroid hormone receptors expression in the heart?										
summary	What is the effect of ivabradine in heart failure with preserved ejection fraction?										
summary	What is the mode of action of bedaquiline?										
summary	Does helicobacter pylori infection increase risk for ischemic stroke?										
summary	Describe the mechanism of action of the LINX system for treatment of gastroesophageal reflux disease.										
summary	What is the treatment of subacute thyroiditis?	DOID:7165									
summary	What are the effects of BMAL1 deficiency?										
summary	Where is the protein CLIC1 localized?										
summary	Describe the usefulness of the SPIKE database in human signaling pathways										
summary	What is the Barr body?										
summary	What is the biological role of expansins in fungi?										
summary	What is known about depression in acoustic neuroma patients?										
summary	What is the mode of action of Hsp90 inhibitors?										
summary	What is HbVar?										
summary	Can DMSO as an additive improve proteomic analysis results?										
summary	Why do we use "N-terminal proteomics"?										
summary	Describe the mechanism of action of drisapersen										
summary	How does ranolazine affect calcium handling in the heart										
summary	Which is the primary distinction between the Reverse Warburg effect and the conventional Warburg effect?										
summary	What is the role of per genes in circadian rhythm control?										
summary	What is the definition of autophagy?										
summary	Between which types of DNA bases are mutational biases introduced due to directional mutation pressure?										
summary	What is the role of AMPK in diabetic cardiomyopathy?										
summary	What is the oldest human sample analysed by paleontology proteomics?										
summary	What is membrane scission?										
summary	What is the mechanism of DNA replication termination in vertebrates?										
summary	What is the association between moon cycle and rupture risk  of intracranial aneurysms?										
summary	How homoplasy affects phylogenetic reconstruction?										
summary	What is known about the association between the use of selective serotonin reuptake inhibitors during pregnancy and risk for autism in offspring?										
summary	Why are insulators necessary in gene therapy vectors?										
summary	What is the role of SERCA in diabetic cardiomyopathy?										
summary	What is the methodological principle of ChIA-PET?										
summary	What is the association between h-index and academic rank in academic neurosurgery?										
summary	What is known about the value of mindfulness interventions in prostate cancer patients?										
summary	What is known about prostate cancer screening in the UK ?										
summary	The secreted frizzled-related protein 3 (sFPR3) is altered in human cancers. Are its level found to increase or to decrease?										
summary	Albumin depletion is a common first step for proteomic analysis of CSF fluid. What is the advantage and disadvantage of this procedure?										
summary	How are lincRNA affecting the regulation of gene expression?										
summary	What is known about thalidomide therapy and survival of glioblastoma patients?										
summary	Which is the definition of pyknons in DNA?										
summary	What is the role of deadenylases in the cell?										
summary	How could U1 small nuclear RNA be used in therapeutics?										
summary	What is the influence of patent expiry on  ACE inhibitor prescribing.										
summary	How effective is the dentritic cells treatment on cancer?										
summary	What is known about the reimbursement of Viagra										
summary	Why is lock mass used in Orbitrap measurements?										
summary	How does trimetazidine affect intracellular kinase signaling in the heart?										
summary	What was the aim of the COSS (Carotid Occlusion Surgery Study) clinical trial?										
summary	What are the clinical trial outcomes of metformin use in polycystic ovary disease?										
summary	What is the association between Generalized anxiety disorder and mortality risk?										
summary	Which treatment leads to an increase in neutrophil counts in severe congenital neutropenia?										
summary	What is the effect of resveratrol on mTOR activity?										
summary	What is the role of AMPK kinase in myocardial remodeling after myocardial infarction										
summary	What is the mechanism of action of solanezumab?										
summary	Which phenomenon is known as the "calcium paradox" in the isolated perfused heart?										
summary	How do Hsp70 and Hsp110 affect mRNA stability?										
summary	What is Prudent Diet?										
summary	What is the role of necroptosis in cancer therapy?										
summary	What is FINDbase?										
summary	Why does the prodrug amifostine (ethyol) create hypoxia?										
summary	What is considered a reliable technique for the definitive cytogenetic diagnosis of Fanconi anemia homozygosity?										
summary	What is the role of lysine-specific demethylase 1 (LSD1) in hematopoiesis?										
summary	How are induced pluripotent stem cells used in the study and treatment of cardiovascular diseases?										
summary	How is the sequence variability defined in antibodies?										
summary	What is TFBSshape?										
summary	What is the main characteristic of Amyotrophic Lateral Sclerosis?										
summary	Which is the mechanism used for synthesis of a highly functional N-truncated dystrophin isoform that attenuates dystrophinopathy?										
summary	What constitutes an increased risk for individuals with Fanconi anemia?										
summary	what is the role of IGF-1 in cardiac regeneration after myocardial infarction?										
summary	What is known about prostate cancer screening in the UK										
summary	what is the role of TGFbeta in cardiac regeneration after myocardial injury?										
summary	What is the function of the mammalian gene Irg1?										
summary	What is the systemic nickel allergy syndrome?										
summary	What is the role of ELMO1 gene in cell migration?										
summary	What is the biological role of K-48 linked protein ubiquitination?										
summary	What is known about Vancomycin dosing in neonates?										
summary	Which histone modifications have been associated to alternative splicing?										
summary	What is a P-body (processing body)?										
summary	What is the mechanism of action of decitabine?										
summary	What are the main characteristics/symptoms of the "Brugada" syndrome										
summary	How does thyroid hormone regulate mitochondrial biogenesis in the myocardium?										
summary	What is the genomic structure of the FAA (FANCA) gene?										
summary	What is Snord116?										
